----------------------------------------------
config:
  data_dir = ./resource/data
  output_dir = ./output
  catch_dir = ./catch
  model_name = R-Bert
  mode = 0
  seed = 1234
  cuda = 0
  ptlm_root_dir = ./resource
  ptlm_name = bert-base-uncased
  epoch = 1000
  max_length = 128
  lr = 1e-05
  other_lr = 2e-05
  batch_size = 16
  weight_deca = 0.0
  dropout = 0.1
  warmup = 0.1
  adam_epsilon = 1e-08
  device = cuda
  model_dir = ./output/R-Bert
  ptlm_dir = ./resource/bert-base-uncased
----------------------------------------------
start to load data
finish loading train!
finish loading test!
finish loading dev!
loading finished!
----------------------------------------------
training model parameters (except PLM layers):
cls_mlp.weight: torch.Size([768, 768])
cls_mlp.bias: torch.Size([768])
entity_mlp.weight: torch.Size([768, 768])
entity_mlp.bias: torch.Size([768])
dense.weight: torch.Size([19, 2304])
dense.bias: torch.Size([19])
----------------------------------------------
start to train the model......
epoch:1｜ train_loss:1.409 | dev_loss:0.652 | f1 on dev:0.8324
>>> save models!
epoch:2｜ train_loss:0.567 | dev_loss:0.520 | f1 on dev:0.8678
>>> save models!
epoch:3｜ train_loss:0.354 | dev_loss:0.510 | f1 on dev:0.8814
>>> save models!
epoch:4｜ train_loss:0.222 | dev_loss:0.541 | f1 on dev:0.8721
epoch:5｜ train_loss:0.126 | dev_loss:0.570 | f1 on dev:0.8770
epoch:6｜ train_loss:0.074 | dev_loss:0.633 | f1 on dev:0.8678
epoch:7｜ train_loss:0.047 | dev_loss:0.651 | f1 on dev:0.8799
epoch:8｜ train_loss:0.032 | dev_loss:0.699 | f1 on dev:0.8751
epoch:9｜ train_loss:0.024 | dev_loss:0.813 | f1 on dev:0.8690
epoch:10｜ train_loss:0.014 | dev_loss:0.787 | f1 on dev:0.8814
>>> save models!
epoch:11｜ train_loss:0.011 | dev_loss:0.879 | f1 on dev:0.8758
epoch:12｜ train_loss:0.020 | dev_loss:0.805 | f1 on dev:0.8803
epoch:13｜ train_loss:0.019 | dev_loss:0.862 | f1 on dev:0.8758
epoch:14｜ train_loss:0.006 | dev_loss:1.045 | f1 on dev:0.8705
epoch:15｜ train_loss:0.016 | dev_loss:0.969 | f1 on dev:0.8763
epoch:16｜ train_loss:0.008 | dev_loss:0.904 | f1 on dev:0.8778
epoch:17｜ train_loss:0.006 | dev_loss:0.990 | f1 on dev:0.8712
epoch:18｜ train_loss:0.016 | dev_loss:0.905 | f1 on dev:0.8727
epoch:19｜ train_loss:0.010 | dev_loss:0.953 | f1 on dev:0.8801
epoch:20｜ train_loss:0.006 | dev_loss:0.949 | f1 on dev:0.8791
